Run number,d',w',w,tau,d,Max height,Mean height,Mean gradient,Mean soil thickness,Fractional soil cover,Total number of surface faces,Number of soil-air faces,Number of rock-air faces
48,100,1.264911064,0.000126491,10000,0.01,14,8.992094862,0.116393753,0.607003891,0.588910134,523,308,215
49,316.227766,1.264911064,0.000126491,10000,0.031622777,5.5,3.071146245,0.036530897,0.525291829,0.545105566,521,284,237
50,1000,1.264911064,0.000126491,10000,0.1,2,1.09486166,0.009128214,0.46692607,0.537717602,517,278,239
51,0.1,4,0.04,100,0.001,63,32.27667984,0.568222324,0.964980545,0.953216374,513,489,24
52,0.316227766,4,0.04,100,0.003162278,62,32.08695652,0.55909411,1.027237354,0.972709552,513,499,14
53,1,4,0.04,100,0.01,59.5,31.56521739,0.536273574,0.926070039,0.883945841,517,457,60
54,3.16227766,4,0.04,100,0.031622777,53,29.3715415,0.47694018,0.906614786,0.859344894,519,446,73
55,10,4,0.04,100,0.1,39.5,23.53359684,0.351436253,0.929961089,0.873294347,513,448,65
56,0.316227766,4,0.012649111,316.227766,0.001,62.5,33.07509881,0.561385183,1,0.947775629,517,490,27
57,1,4,0.012649111,316.227766,0.003162278,60.5,32.43873518,0.540837681,0.937743191,0.888246628,519,461,58
58,3.16227766,4,0.012649111,316.227766,0.01,54,30.33596838,0.481522328,0.926070039,0.867052023,519,450,69
59,10,4,0.012649111,316.227766,0.031622777,40.5,24.47035573,0.35600036,0.93385214,0.865125241,519,449,70
60,31.6227766,4,0.012649111,316.227766,0.1,21.5,14.26482213,0.187128394,0.972762646,0.867052023,519,450,69
61,1,4,0.004,1000,0.001,60,31.54545455,0.540837681,0.945525292,0.895145631,515,461,54
62,3.16227766,4,0.004,1000,0.003162278,52.5,29.37549407,0.474667147,0.937743191,0.895145631,515,461,54
63,10,4,0.004,1000,0.01,39,23.49802372,0.346872146,0.941634241,0.898635478,513,461,52
64,31.6227766,4,0.004,1000,0.031622777,20.5,13.14624506,0.180273214,0.964980545,0.900584795,513,462,51
65,100,4,0.004,1000,0.1,8,5.079051383,0.066188574,0.910505837,0.873294347,513,448,65
66,3.16227766,4,0.001264911,3162.27766,0.001,53.5,30.37944664,0.479231254,0.984435798,0.901353965,517,466,51
67,10,4,0.001264911,3162.27766,0.003162278,40.5,24.42687747,0.35598232,1.015564202,0.885880077,517,458,59
68,31.6227766,4,0.001264911,3162.27766,0.01,21.5,14.20158103,0.187128394,0.918287938,0.856866538,517,443,74
69,100,4,0.001264911,3162.27766,0.031622777,9.5,6.011857708,0.068461608,0.879377432,0.852998066,517,441,76
70,316.227766,4,0.001264911,3162.27766,0.1,4.5,2.691699605,0.025111609,0.766536965,0.765957447,517,396,121
71,10,4,0.0004,10000,0.001,39,23.35968379,0.349163219,0.961089494,0.881091618,513,452,61
